Year,Code,Waste,WstOper,Value
1997,352,6,3,-1
1997,352,7,1,21038
1997,352,7,2,15026
1997,352,7,3,15026
1997,352,8,1,12963
1997,352,8,2,4004
1997,352,8,3,0
1997,36,0,1,-1
1997,36,0,2,-1
1997,36,0,3,-1
1997,36,1,1,-1
1997,36,1,2,-1
1997,36,1,3,-1
1997,36,2,1,-1
1997,36,2,2,-1
1997,36,2,3,-1
1997,36,3,1,-1
1997,36,3,2,-1
1997,36,3,3,-1
1997,36,4,1,-1
1997,36,4,2,-1
1997,36,4,3,-1
1997,36,5,1,-1
1997,36,5,2,-1
1997,36,5,3,-1
1997,36,6,1,-1
1997,36,6,2,-1
1997,36,6,3,-1
1997,36,7,1,-1
1997,36,7,2,-1
1997,36,7,3,-1
1997,36,8,1,-1
1997,36,8,2,-1
1997,36,8,3,-1
1997,356,0,1,-1
1997,356,0,2,-1
1997,356,0,3,-1
1997,356,1,1,-1
1997,356,1,2,-1
1997,356,1,3,-1
1997,356,2,1,-1
1997,356,2,2,-1
1997,356,2,3,-1
1997,356,3,1,-1
1997,356,3,2,-1
1997,356,3,3,-1
1997,356,4,1,-1
1997,356,4,2,-1
1997,356,4,3,-1
1997,356,5,1,-1
1997,356,5,2,-1
1997,356,5,3,-1
1997,356,6,1,-1
1997,356,6,2,-1
1997,356,6,3,-1
1997,356,7,1,-1
1997,356,7,2,-1
1997,356,7,3,-1
1997,356,8,1,-1
1997,356,8,2,-1
1997,356,8,3,-1
1997,31,0,1,2745000
1997,31,0,2,2130000
1997,31,0,3,1516000
1997,31,1,1,1449000
1997,31,1,2,1232000
1997,31,1,3,941000
1997,31,2,1,611000
1997,31,2,2,399000
1997,31,2,3,76000
1997,31,3,1,-1
1997,31,3,2,-1
1997,31,3,3,-1
1997,31,4,1,216000
1997,31,4,2,145000
1997,31,4,3,145000
1997,31,5,1,20000
1997,31,5,2,3000
1997,31,5,3,3000
1997,31,6,1,196000
1997,31,6,2,142000
1997,31,6,3,142000
1997,31,7,1,469000
1997,31,7,2,354000
1997,31,7,3,354000
1997,31,8,1,0
1997,31,8,2,0
1997,31,8,3,0
1997,43,0,1,1103000
1997,43,0,2,764500
1997,43,0,3,711000
1997,43,1,1,500000
1997,43,1,2,425000
1997,43,1,3,425000
1997,43,2,1,180000
1997,43,2,2,82000
1997,43,2,3,36000
1997,43,3,1,50000
1997,43,3,2,9500
1997,43,3,3,7000
1997,43,4,1,85000
1997,43,4,2,29000
